location_day_id,event_date,location,district,governorate,deaths_total,injuries_total,incident_rows_combined,has_unquantified_report,component_incident_ids
LD-2026-03-11-شقرا (Shaqra),2026-03-11,شقرا (Shaqra),Nabatieh,Nabatieh,2,0,1,0,INC-0098
LD-2026-03-11-كفرتبنيت (Kfartebnit),2026-03-11,كفرتبنيت (Kfartebnit),Nabatieh,Nabatieh,1,0,1,0,INC-0099
LD-2026-03-11-معركة (Maaraka junction),2026-03-11,معركة (Maaraka junction),Tyre,South Lebanon,2,14,1,0,INC-0100
LD-2026-03-12-أركي (Arki),2026-03-12,أركي (Arki),Sidon,South Lebanon,9,7,1,0,INC-0101
LD-2026-03-12-الحدث (Hadath),2026-03-12,الحدث (Hadath),Baabda,Mount Lebanon,2,0,1,0,INC-0102
LD-2026-03-12-النبطية الفوقا (Nabatieh al-Fawqa),2026-03-12,النبطية الفوقا (Nabatieh al-Fawqa),Nabatieh,Nabatieh,1,0,1,0,INC-0103
LD-2026-03-12-باريش (Barish),2026-03-12,باريش (Barish),Tyre,South Lebanon,3,0,1,0,INC-0104
LD-2026-03-12-بنت جبيل (Bint Jbeil),2026-03-12,بنت جبيل (Bint Jbeil),Bint Jbeil,Nabatieh,3,0,1,0,INC-0105
LD-2026-03-12-دير أنطار (Deir Antar),2026-03-12,دير أنطار (Deir Antar),Bint Jbeil,Nabatieh,1,0,1,0,INC-0106
LD-2026-03-12-عرمون (Aramoun),2026-03-12,عرمون (Aramoun),Aley,Mount Lebanon,5,7,1,0,INC-0107
LD-2026-03-12-عين ابل (Ain Ebel),2026-03-12,عين ابل (Ain Ebel),Bint Jbeil,Nabatieh,3,0,1,0,INC-0108
